amount,transaction_error,age,gender,annual_income,credit_score,number_of_cards,has_chip,credit_limit,card_usage_method_Chip,card_usage_method_Contactless,card_usage_method_Online,card_usage_method_Swipe,card_brand_Amex,card_brand_Discover,card_brand_Mastercard,card_brand_Visa,card_type_Credit,card_type_Debit,card_type_Debit (Prepaid),merchant_region_Africa,merchant_region_Asia,merchant_region_Europe,merchant_region_Middle East,merchant_region_North America,merchant_region_Oceania,merchant_region_South America,merchant_region_Unknown,merchant_category_code_Financial,merchant_category_code_Government,merchant_category_code_Other,merchant_category_code_Professional_Medical,merchant_category_code_Retail,merchant_category_code_Services_Leisure,merchant_category_code_Transport_Utilities,merchant_category_code_Travel_Transport
6.02827852,0,36,0,53138,606,4,0,13400,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5.823045895,0,27,0,35026,743,5,0,16064,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3.338967305,0,54,1,42900,802,6,0,13910,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4.79512917,0,34,0,43579,795,3,0,12300,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
-4.189654742,0,39,1,23307,789,1,0,9600,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4.433551152,0,79,0,30434,740,7,0,29219,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3.951243719,0,59,1,35854,850,2,0,14716,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.100468909,0,55,0,80957,683,6,0,14600,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.6651427,0,48,0,49967,655,1,0,25093,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4.576667826,0,61,0,35823,732,3,0,6900,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4.384523515,0,83,0,82009,764,8,0,62519,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.80578169,0,45,0,24215,707,6,0,3800,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-4.477336814,0,33,1,67589,602,2,0,12500,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.043296076,0,47,1,35876,635,3,0,10300,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4.9003739,0,51,1,57646,724,4,0,23016,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.887891257,0,37,1,36122,641,2,0,14561,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4.536570094,0,57,1,32576,753,4,0,14464,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.604170071,0,37,1,55172,629,3,0,20400,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3.888754378,0,37,0,48710,792,3,0,9708,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
