customer_id,age,gender,country,annual_income,credit_score,number_of_cards,card_id,card_brand,card_type,has_chip,credit_limit,card_usage_method,merchant_id,merchant_city,merchant_state,postal_code,merchant_category_code,transaction_id,transaction_timestamp,amount,currency,transaction_error
cus_VIllGcjfWm1xfa,28,Male,United States,162597,355,3,pm_1UIADoIIYr8v36zpNIzpoKJx,visa,credit,False,38475,Online,merchant_739491,Barcelona,Catalonia,95444,5541,pi_3UIADpIIYr8v36zp0Q5wo4ew,1790008661,119859,eur,
cus_VIlldTklnvuyya,30,Male,Switzerland,103128,404,4,pm_1UIADqIIYr8v36zp79mgqJNr,visa,credit,False,86954,Contactless,merchant_551944,Rotterdam,South Holland,19604,5541,pi_3UIADrIIYr8v36zp1AiYZve0,1790008663,439722,eur,
cus_VIllc7s6ANNE7v,59,Female,Denmark,81114,626,5,pm_1UIADsIIYr8v36zpI91cuzWK,visa,credit,True,82560,Online,merchant_106351,Houston,Texas,84949,5732,pi_3UIADsIIYr8v36zp0KxWQfhX,1790008664,384268,eur,
cus_VIlltgAjmLgs9G,26,Male,United States,90104,473,4,pm_1UIADuIIYr8v36zp3Sj3jYqy,visa,credit,False,1481,Contactless,merchant_702617,Houston,Texas,80896,5541,pi_3UIADuIIYr8v36zp113s3bd7,1790008666,246782,usd,
cus_VIllaHU8JNwqlc,42,Male,Poland,192541,757,3,pm_1UIADvIIYr8v36zpLfCS93S4,visa,credit,False,70602,Chip,merchant_515650,Porto,Porto,25233,5999,pi_3UIADvIIYr8v36zp1wCpSwXK,1790008667,58825,usd,
cus_VIllIa3bbOSgTm,68,Male,Spain,38384,430,5,pm_1UIADwIIYr8v36zpR8y9kYC7,visa,credit,False,92715,Contactless,merchant_880968,Milan,Lombardy,36431,4111,pi_3UIADxIIYr8v36zp1R3k2VLs,1790008669,387030,usd,
cus_VIllqADgv1xcYK,79,Male,Switzerland,161650,415,2,pm_1UIADyIIYr8v36zpkajkXchK,visa,credit,True,18392,Swipe,merchant_998302,Marseille,Provence-Alpes-Côte d'Azur,56720,5912,pi_3UIADyIIYr8v36zp0MvaS3Lj,1790008670,124493,eur,
cus_VIllprhgLtGkXk,59,Male,Czech Republic,143539,495,3,pm_1UIAE0IIYr8v36zpFyO3zYmL,visa,credit,True,79950,Chip,merchant_158680,Paris,Île-de-France,28633,5912,pi_3UIAE0IIYr8v36zp0zA3h2EM,1790008672,318715,eur,
cus_VIllDN7BVVp1j8,75,Male,Spain,197658,339,5,pm_1UIAE1IIYr8v36zpETivISBj,visa,credit,False,73321,Online,merchant_394939,Stockholm,Stockholm,17997,5812,pi_3UIAE2IIYr8v36zp1RmgkEFf,1790008674,76516,eur,
cus_VIll4S8kR7w3F4,67,Male,Ireland,39890,531,4,pm_1UIAE3IIYr8v36zplHKiItW9,visa,credit,False,69383,Chip,merchant_311240,Paris,Île-de-France,99206,5732,pi_3UIAE3IIYr8v36zp1fFv7bhq,1790008675,210850,eur,
