customer_id,age,gender,country,annual_income,credit_score,number_of_cards,card_id,card_brand,card_type,has_chip,credit_limit,card_usage_method,merchant_id,merchant_city,merchant_state,postal_code,merchant_category_code,transaction_id,transaction_timestamp,amount,currency,transaction_error
cus_VImNxwtB5EeEJR,43,Male,Sweden,33737,347,2,pm_1UIAoaIIYr8v36zpxvEGzaYI,visa,credit,True,21804,Swipe,merchant_500288,Rotterdam,South Holland,27179,5311,pi_3UIAoaIIYr8v36zp1izXNwdl,1790010940,278451,usd,
cus_VImNFJzfcJco8k,77,Male,Spain,114291,507,4,pm_1UIAocIIYr8v36zpRevy6aOl,visa,credit,True,83356,Chip,merchant_822367,Rome,Lazio,34089,5812,pi_3UIAocIIYr8v36zp1Jr3cWtq,1790010942,366504,usd,
cus_VImN3V6wKzb60L,75,Male,Italy,160479,613,1,pm_1UIAodIIYr8v36zpsPWSQUGv,visa,credit,True,88292,Chip,merchant_893737,Seattle,Washington,52278,5411,pi_3UIAoeIIYr8v36zp15H3R4ep,1790010944,150102,eur,
cus_VImNgqSeFNzy62,63,Male,Switzerland,128106,723,2,pm_1UIAofIIYr8v36zpXTpywgqh,visa,credit,False,96353,Online,merchant_237044,Lisbon,Lisbon,31689,4111,pi_3UIAofIIYr8v36zp07hoegFH,1790010945,195769,usd,
cus_VImNNarFsfTV40,34,Female,Belgium,114628,300,3,pm_1UIAogIIYr8v36zpslBc4dpc,visa,credit,False,57346,Chip,merchant_449120,Dublin,Leinster,97216,4111,pi_3UIAohIIYr8v36zp0eJ22XW1,1790010947,365696,usd,
cus_VImNoYg9rVoS0b,24,Female,Switzerland,84731,823,3,pm_1UIAoiIIYr8v36zp3vG8oGXD,visa,credit,False,81162,Online,merchant_802205,Rotterdam,South Holland,53212,5999,pi_3UIAoiIIYr8v36zp1VYT13u3,1790010948,447254,usd,
cus_VImNKv9Rf8xaY5,49,Male,Luxembourg,158053,608,2,pm_1UIAokIIYr8v36zpaf4EJAlD,visa,credit,True,38424,Swipe,merchant_368775,Chicago,Illinois,94740,5311,pi_3UIAokIIYr8v36zp0T0dt3cz,1790010950,274377,usd,
cus_VImNGH47U0AsaV,53,Female,United States,188503,636,4,pm_1UIAolIIYr8v36zp95uz3c2I,visa,credit,True,36949,Online,merchant_159257,Marseille,Provence-Alpes-Côte d'Azur,49828,5999,pi_3UIAolIIYr8v36zp0l417JYv,1790010951,438487,usd,
cus_VImNvuKtSpRRV7,18,Male,Norway,129251,372,4,pm_1UIAonIIYr8v36zpIGuQHygH,visa,credit,True,63731,Online,merchant_432361,Los Angeles,California,92433,4111,pi_3UIAonIIYr8v36zp1igXRz6H,1790010953,261739,eur,
cus_VImNhQEHeJAtb7,58,Male,Germany,105937,427,5,pm_1UIAooIIYr8v36zpRpRa4XYl,visa,credit,True,61259,Online,merchant_675714,Hamburg,Hamburg,12101,5912,pi_3UIAopIIYr8v36zp0NZrOP8N,1790010955,1308,usd,
